absent,/ˈæb.sənt/,adj.,缺席的,The student was absent from class.,學生缺席了課堂。
accept,/ækˈsept/,v.,接受,She will accept the job offer.,她會接受這份工作邀請。
accident,/ˈæk.sə.dənt/,n.,意外,He had an accident on the way home.,他在回家的路上發生了意外。
active,/ˈæk.tɪv/,adj.,活躍的,She is an active member of the club.,她是俱樂部的活躍成員。
activity,/ækˈtɪv.ə.ti/,n.,活動,The school organizes many activities.,學校組織了許多活動。
add,/æd/,v.,添加,Please add more sugar to the coffee.,請在咖啡裡加更多糖。
address,/əˈdres/,n.,地址,What is your home address?,你的家庭地址是什麼？
admire,/ədˈmaɪər/,v.,佩服,I admire her courage.,我佩服她的勇氣。
adult,/ˈæd.ʌlt/,n.,成人,Adults should set a good example.,成人應該樹立好榜樣。
advertisement,/ədˈvɜː.tɪs.mənt/,n.,廣告,The advertisement caught my attention.,這則廣告引起了我的注意。
advice,/ədˈvaɪs/,n.,建議,She gave me some good advice.,她給了我一些好建議。
advise,/ədˈvaɪz/,v.,建議,He advised me to take a break.,他建議我休息一下。
affect,/əˈfekt/,v.,影響,The weather will affect our plans.,天氣會影響我們的計劃。
against,/əˈɡenst/,prep.,反對,She is against the new policy.,她反對新政策。
aim,/eɪm/,n.,目標,His aim is to become a doctor.,他的目標是成為一名醫生。
air conditioner,/eər kənˈdɪʃ.ən.ər/,n.,空調,The air conditioner is not working.,空調不工作。
airlines,/ˈeər.laɪnz/,n.,航空公司,She works for an international airline.,她為一家國際航空公司工作。
alarm,/əˈlɑːrm/,n.,警報,The alarm went off at 7 AM.,警報在早上7點響起。
album,/ˈæl.bəm/,n.,專輯,He bought a new music album.,他買了一張新音樂專輯。
alike,/əˈlaɪk/,adj.,相似的,The twins look very much alike.,雙胞胎看起來非常相似。
alive,/əˈlaɪv/,adj.,活著的,The cat is still alive.,那隻貓還活著。
allow,/əˈlaʊ/,v.,允許,She allows her kids to watch TV.,她允許她的孩子看電視。
alone,/əˈloʊn/,adj.,獨自的,He prefers to be alone.,他喜歡獨自一人。
aloud,/əˈlaʊd/,adv.,大聲地,She read the story aloud.,她大聲朗讀故事。
alphabet,/ˈæl.fə.bɛt/,n.,字母表,He learned the alphabet quickly.,他很快學會了字母表。
altogether,/ɔːl.təˈɡeð.ər/,adv.,總共,There are 50 students altogether.,總共有50名學生。
ambulance,/ˈæm.bjə.ləns/,n.,救護車,An ambulance arrived quickly.,救護車很快到達。
among,/əˈmʌŋ/,prep.,在...之中,She is popular among her friends.,她在朋友中很受歡迎。
amount,/əˈmaʊnt/,n.,數量,The amount of work is overwhelming.,工作量令人壓倒。
ancient,/ˈeɪn.ʃənt/,adj.,古老的,The ancient ruins are fascinating.,古老的遺跡非常迷人。
angel,/ˈeɪn.dʒəl/,n.,天使,She believes in angels.,她相信天使。
anger,/ˈæŋ.ɡər/,n.,憤怒,His anger was evident.,他的憤怒顯而易見。
ankle,/ˈæŋ.kəl/,n.,腳踝,She twisted her ankle.,她扭傷了腳踝。
anywhere,/ˈɛn.i.wɛr/,adv.,任何地方,You can sit anywhere.,你可以坐在任何地方。
apologize,/əˈpɑː.lə.dʒaɪz/,v.,道歉,He apologized for his mistake.,他為自己的錯誤道歉。
appreciate,/əˈpriː.ʃi.eɪt/,v.,感謝,I appreciate your help.,我感謝你的幫助。
area,/ˈɛər.i.ə/,n.,區域,This is a restricted area.,這是一個限制區域。
argue,/ˈɑːr.ɡjuː/,v.,爭論,They argue about politics.,他們爭論政治。
armchair,/ˈɑːrm.tʃeər/,n.,扶手椅,He sat in the armchair.,他坐在扶手椅上。
army,/ˈɑːr.mi/,n.,軍隊,He joined the army.,他加入了軍隊。
arrange,/əˈreɪndʒ/,v.,安排,She arranged the meeting.,她安排了會議。
artist,/ˈɑːr.tɪst/,n.,藝術家,He is a famous artist.,他是一位著名的藝術家。
asleep,/əˈsliːp/,adj.,睡著的,The baby is asleep.,寶寶睡著了。
assistant,/əˈsɪs.tənt/,n.,助手,She is the manager's assistant.,她是經理的助手。
assume,/əˈsjuːm/,v.,假設,I assume you are ready.,我假設你已經準備好了。
attention,/əˈten.ʃən/,n.,注意,Pay attention to the details.,注意細節。
available,/əˈveɪ.lə.bəl/,adj.,可用的,The book is available online.,這本書可以在網上找到。
avoid,/əˈvɔɪd/,v.,避免,He tries to avoid conflicts.,他努力避免衝突。
baby sitter,/ˈbeɪ.bi ˈsɪt.ər/,n.,保姆,She hired a baby sitter.,她雇了一個保姆。
backpack,/ˈbæk.pæk/,n.,背包,He carried a heavy backpack.,他背著一個沉重的背包。
backward,/ˈbæk.wɜːrd/,adj.,向後的,The car moved backward.,汽車向後移動。
balloon,/bəˈluːn/,n.,氣球,She blew up a balloon.,她吹起了一個氣球。
barber,/ˈbɑːr.bər/,n.,理髮師,He went to the barber.,他去了理髮師那裡。
bark,/bɑːrk/,v.,吠叫,The dog barked loudly.,狗大聲吠叫。
basement,/ˈbeɪs.mənt/,n.,地下室,The basement is dark.,地下室很暗。
basic,/ˈbeɪ.sɪk/,adj.,基本的,These are the basic rules.,這些是基本規則。
bathe,/beɪð/,v.,洗澡,She likes to bathe in the morning.,她喜歡早上洗澡。
beard,/bɪərd/,n.,鬍子,He has a long beard.,他有一個長鬍子。
beat,/biːt/,v.,打敗,He beat his opponent.,他打敗了對手。
beauty,/ˈbjuː.ti/,n.,美麗,She admires the beauty of nature.,她佩服大自然的美麗。
beer,/bɪər/,n.,啤酒,He drank a cold beer.,他喝了一杯冰啤酒。
beginner,/bɪˈɡɪn.ər/,n.,初學者,She is a beginner in piano.,她是鋼琴的初學者。
behave,/bɪˈheɪv/,v.,表現,He behaves well in class.,他在課堂上表現良好。
besides,/bɪˈsaɪdz/,prep.,除了,Besides English, she speaks French.,除了英語，她還會說法語。
beyond,/bɪˈjɑːnd/,prep.,超過,The task is beyond his ability.,這項任務超出了他的能力。
bill,/bɪl/,n.,帳單,He paid the bill.,他付了帳單。
biology,/baɪˈɑː.lə.dʒi/,n.,生物學,She studies biology.,她學習生物學。
bitter,/ˈbɪt.ər/,adj.,苦的,The coffee tastes bitter.,咖啡味道苦。
